x,EROS
-7.49931,5.55112e-17
-7.44398,-0.05978
-7.37759,-0.14674
-7.3112,-0.21196
-7.26694,-0.28804
-7.20055,-0.36957
-7.15629,-0.43478
-7.11203,-0.48913
-7.06777,-0.54348
-6.94606,-0.63587
-6.85754,-0.71196
-6.72476,-0.77174
-6.58091,-0.82609
-6.39281,-0.8913
-6.16044,-0.95109
-5.92808,-0.98913
-5.71784,-0.98913
-5.47441,-0.98913
-5.27524,-0.96196
-5.0982,-0.95109
-4.89903,-0.94022
-4.73306,-0.92935
-4.48963,-0.94022
-4.19087,-0.9837
-3.90318,-1.05435
-3.5823,-1.1413
-3.37206,-1.20652
-3.07331,-1.30978
-2.82988,-1.38587
-2.49793,-1.45109
-2.21024,-1.4837
-1.88935,-1.49457
-1.61272,-1.45652
-1.21438,-1.375
-0.8935,-1.27717
-0.60581,-1.19022
-0.29599,-1.04891
-0.04149,-0.95652
0.20194,-0.83152
0.45643,-0.70652
0.72199,-0.57609
0.95436,-0.42391
1.14246,-0.27717
1.33057,-0.125
1.40802,5.55112e-17
