x,LIGO-SGWB
0.10263,0.25052
0.11526,0.24245
0.12945,0.23463
0.1488,0.22339
0.17506,0.20924
0.1989,0.19922
0.21827,0.18969
0.248,0.17769
0.28508,0.16644
0.30925,0.1534
0.34734,0.14138
0.38561,0.13244
0.41349,0.1201
0.4538,0.10714
0.50386,0.09558
0.56601,0.0812
0.60693,0.07363
0.65087,0.063587
0.7144,0.05491
0.784,0.048195
0.8506,0.042302
0.8912,0.037742
0.9446,0.033672
1.0367,0.03004
1.1118,0.025522
1.2202,0.022769
1.3393,0.019344
1.5044,0.016978
1.6704,0.015146
1.8333,0.013294
2.0593,0.011668
2.2863,0.010753
2.6281,0.010073
2.9861,0.00959
3.3929,0.008984
3.9,0.008553
4.5354,0.008012
5.2135,0.007505
6.351,0.006915
7.647,0.006583
9.315,0.0060665
11.613,0.0058698
13.982,0.0056799
16.642,0.0054074
20.988,0.005232
25.27,0.0050627
28.71,0.0050615
34.969,0.004978
43.087,0.0050579
55.61,0.005223
64.655,0.005483
71.76,0.0057565
78.73,0.0060437
88.41,0.0064491
94.76,0.00711
102.76,0.007712
112.72,0.008642
123.65,0.009843
137.22,0.011394
147.07,0.012978
163.19,0.015776
181.07,0.019492
203.24,0.02488
222.91,0.030741
238.92,0.035014
259.01,0.043973
280.79,0.055225
297.46,0.06498
318.81,0.07402
341.69,0.08569
379.2,0.0976
411.15,0.11298
451,0.1308
500.46,0.1539
561.81,0.18405
638.07,0.21655
708.1,0.24664
785.8,0.28552
892.5,0.32517
979,0.37035
1037.4,0.38886
