x,O4dasym
1.2658e-06,0.20514
2.0472e-06,0.22451
3.3102e-06,0.22451
3.8062e-06,0.18557
4.4705e-06,0.23605
4.8405e-06,0.19316
5.5697e-06,0.20514
6.0336e-06,0.19906
6.538e-06,0.21353
7.0838e-06,0.22005
7.5219e-06,0.21568
8.1503e-06,0.22677
8.4821e-06,0.21568
8.83e-06,0.22906
9.959e-06,0.23843
1.0572e-05,0.21568
1.2412e-05,0.23843
1.3448e-05,0.24083
1.3998e-05,0.24818
1.5165e-05,0.24326
1.5787e-05,0.25834
1.6432e-05,0.25834
1.7106e-05,0.27436
1.8908e-05,0.27712
2.0483e-05,0.26891
2.2196e-05,0.29137
2.4049e-05,0.30026
2.554e-05,0.30943
2.6585e-05,0.3157
2.767e-05,0.30943
2.8804e-05,0.32534
3.0586e-05,0.31888
3.1208e-05,0.33193
3.1843e-05,0.34551
3.3145e-05,0.34899
3.5199e-05,0.35606
3.738e-05,0.36327
3.8908e-05,0.36693
4.2159e-05,0.3858
4.3014e-05,0.39361
4.5677e-05,0.39361
4.8509e-05,0.40563
5.0494e-05,0.41384
5.1521e-05,0.43078
5.2569e-05,0.4484
5.4718e-05,0.45292
5.6954e-05,0.45292
5.8109e-05,0.4621
6.2957e-05,0.46675
6.4234e-05,0.4762
6.6862e-05,0.48585
6.96e-05,0.50069
7.1014e-05,0.51597
7.3919e-05,0.52642
7.6946e-05,0.5425
8.0097e-05,0.55906
8.5058e-05,0.5647
9.033e-05,0.5878
9.403e-05,0.59971
9.594e-05,0.61185
9.986e-05,0.62425
0.00010395,0.63054
0.0001082,0.64331
0.00011723,0.66295
0.00012203,0.67638
0.00012958,0.67638
0.00013487,0.66963
0.00014323,0.68319
0.00014613,0.69008
0.00015833,0.71115
0.00016481,0.71831
0.00016815,0.74025
0.00017857,0.7477
0.00018964,0.76285
0.0001974,0.7783
0.00020547,0.78614
0.0002182,0.80206
