x,LIGOmerger
0.010298,1
0.010501,0.8994
0.011027,0.7848
0.011579,0.6952
0.012278,0.62525
0.01302,0.56234
0.014079,0.49816
0.01464,0.43467
0.01583,0.38506
0.016951,0.34111
0.01851,0.31147
0.01982,0.2597
0.021643,0.22319
0.023865,0.20074
0.027904,0.16993
0.031685,0.14168
0.037779,0.11994
0.047766,0.1
0.064669,0.07848
0.09194,0.061585
0.12693,0.050576
0.20291,0.037927
0.31499,0.028875
0.36473,0.024816
0.42232,0.021653
0.45666,0.019475
0.48899,0.01833
0.52362,0.015753
0.58305,0.013335
0.63666,0.011461
0.70202,0.009271
0.7817,0.0057964
0.9412,0.0028014
1.2496,0.0018054
2.0172,0.0010153
3.7338,0.00050576
5.7964,0.00032596
8.4033,0.00024076
12.918,0.00017783
18.546,0.00015053
23.679,0.00013745
29.939,0.00013135
37.485,0.00013135
45.134,0.00013335
58.191,0.00014168
81.924,0.00016238
94.86,0.00018054
108.77,0.00020074
127.18,0.0002266
154.63,0.00028014
191.73,0.00034632
224.18,0.00041536
264.7,0.00052132
337.96,0.0008089
402.96,0.0011461
561.79,0.0021984
703.39,0.0062525
822.45,0.015053
980.6,0.058849
1367.2,0.9702
