x,Curve1
-8.89187,1.38778e-17
-8.86169,-0.05725
-8.83152,-0.12214
-8.8114,-0.19084
-8.78122,-0.25191
-8.75105,-0.32443
-8.73093,-0.39695
-8.6907,-0.48092
-8.65046,-0.5687
-8.60017,-0.68321
-8.55993,-0.79771
-8.49958,-0.92748
-8.40905,-1.08397
-8.35876,-1.19847
-8.28835,-1.33588
-8.21794,-1.45802
-8.13747,-1.58779
-8.057,-1.72519
-7.96647,-1.8626
-7.86588,-1.99618
-7.7653,-2.10687
-7.66471,-2.22901
-7.55407,-2.35115
-7.45348,-2.4313
-7.35289,-2.50382
-7.26236,-2.55344
-7.18189,-2.60687
-7.09137,-2.65267
-6.9606,-2.69847
-6.82984,-2.74427
-6.70914,-2.77481
-6.57837,-2.80916
-6.45767,-2.83969
-6.28667,-2.85878
-6.14585,-2.88168
-5.99497,-2.89313
-5.86421,-2.90076
-5.73345,-2.90076
-5.59262,-2.90076
-5.38139,-2.89695
-5.23051,-2.88931
-5.0394,-2.87023
-4.81811,-2.84351
-4.63705,-2.81679
-4.45599,-2.79389
-4.19447,-2.74046
-3.98324,-2.69847
-3.772,-2.65267
-3.58089,-2.59542
-3.37972,-2.54198
-3.17854,-2.48092
-2.99749,-2.42748
-2.84661,-2.37023
-2.69573,-2.32061
-2.54484,-2.25954
-2.37385,-2.19466
-2.21291,-2.13359
-2.06203,-2.07252
-1.88097,-1.99618
-1.63956,-1.90458
-1.46857,-1.82443
-1.27745,-1.74427
-1.0964,-1.66412
-0.91534,-1.57634
-0.72422,-1.48473
-0.52305,-1.37786
-0.35205,-1.28626
-0.20117,-1.19466
-0.05029,-1.07634
0.1207,-0.94656
0.26153,-0.82061
0.40235,-0.65649
0.50293,-0.5458
0.61358,-0.41603
0.70411,-0.28244
0.79464,-0.16412
0.86505,-0.0687
0.90528,-0.00382
