x,OGLE_relax
1.6259e-06,0.99999
1.8082e-06,0.90956
1.965e-06,0.84002
2.1231e-06,0.77805
2.3048e-06,0.71874
2.4985e-06,0.66301
2.7283e-06,0.61302
2.9521e-06,0.56712
3.1885e-06,0.52556
3.45e-06,0.48537
3.699e-06,0.4498
4.0245e-06,0.41302
4.3467e-06,0.38297
4.6947e-06,0.35348
5.1172e-06,0.32589
5.547e-06,0.30183
5.991e-06,0.27923
6.489e-06,0.25823
7.04e-06,0.23847
7.594e-06,0.21982
8.238e-06,0.20355
8.912e-06,0.18832
9.725e-06,0.17423
1.052e-05,0.161039
1.1446e-05,0.148715
1.2455e-05,0.137585
1.3631e-05,0.127056
1.4617e-05,0.117763
1.5858e-05,0.108551
1.6956e-05,0.100888
1.8557e-05,0.092997
2.0191e-05,0.08588
2.1906e-05,0.079307
2.3974e-05,0.073507
2.6085e-05,0.068068
2.8136e-05,0.062801
3.0972e-05,0.058154
3.3602e-05,0.053802
3.6775e-05,0.049594
3.9897e-05,0.045966
4.3664e-05,0.042604
4.8065e-05,0.039416
5.1694e-05,0.036399
5.641e-05,0.033706
6.192e-05,0.031127
6.816e-05,0.028903
7.503e-05,0.026666
8.211e-05,0.024739
9.065e-05,0.022908
9.892e-05,0.021252
0.00011114,0.019716
0.00012234,0.01824
0.00013704,0.0169214
0.00015307,0.0157269
0.00017096,0.0145632
0.00019319,0.0135104
0.00021831,0.0125796
0.00024669,0.0117344
0.00028202,0.010906
0.00032809,0.0101361
0.00037947,0.0094897
0.0004389,0.0089009
0.00051358,0.0083028
0.0006187,0.0078162
0.0007453,0.0073446
0.0008979,0.0069777
0.0010943,0.0066412
0.0013651,0.0063558
0.0016931,0.0061273
0.0019811,0.0059723
0.0024428,0.0058105
0.0028918,0.0057261
0.0035039,0.0056739
0.0040999,0.0056428
0.0047419,0.0056222
0.005484,0.0056119
0.006125,0.0056324
0.007002,0.0056531
0.007959,0.0056738
0.009098,0.005726
0.010401,0.0057998
0.011753,0.0058638
0.013203,0.0059394
0.015093,0.006027
0.017055,0.0061271
0.021274,0.0063323
0.027005,0.0065924
0.033491,0.0068632
0.042267,0.0071845
0.052724,0.0075347
0.06501,0.0079018
0.07969,0.0083173
0.0994,0.0087226
0.12328,0.009131
0.15378,0.009541
0.19407,0.0099329
0.24635,0.0103032
0.31454,0.0106288
0.39928,0.0109246
0.51576,0.0111671
0.6701,0.0112491
0.8656,0.0112903
1.1247,0.0113317
1.4699,0.011394
1.8987,0.0114357
2.4527,0.0116469
3.1867,0.0119492
4.0217,0.0123042
5.1051,0.0127395
6.443,0.0133359
8.037,0.0138584
10.143,0.0144278
12.433,0.0152142
15.419,0.0159556
18.792,0.0168561
22.769,0.017807
26.953,0.018881
32.657,0.020094
38.884,0.021306
46.84,0.022715
55.45,0.024173
64.88,0.025772
76.8,0.027528
89.86,0.029402
107.62,0.032102
137.4,0.036224
172.39,0.040576
214.34,0.044893
277.02,0.051792
355.4,0.05934
459.32,0.069254
585,0.07953
756,0.092817
928.2,0.106835
1182.2,0.124397
1494.6,0.14585
1848.5,0.170218
2252.9,0.19774
2745.7,0.23184
3471.4,0.27562
4230.8,0.32092
4970.9,0.37025
5798,0.42813
6713,0.49394
7715,0.56985
8999,0.6529
10089,0.73438
