x,S12A
1.08237e-07,0.34411
1.09018e-07,0.31151
1.106e-07,0.36848
1.122e-07,0.29272
1.1301e-07,0.38488
1.1383e-07,0.28464
1.1631e-07,0.40201
1.18e-07,0.27679
1.1885e-07,0.41859
1.2144e-07,0.43451
1.2232e-07,0.26998
1.2409e-07,0.44963
1.268e-07,0.46528
1.2772e-07,0.26499
1.324e-07,0.48599
1.3529e-07,0.2609
1.3725e-07,0.50762
1.433e-07,0.25929
1.4749e-07,0.54526
1.5399e-07,0.559
1.5622e-07,0.2609
1.5963e-07,0.57666
1.6312e-07,0.26335
1.6668e-07,0.59673
1.7031e-07,0.26582
1.7154e-07,0.61367
1.7911e-07,0.26748
1.8041e-07,0.63109
1.8836e-07,0.64699
1.8973e-07,0.27336
1.9668e-07,0.27765
2.0388e-07,0.68
2.0535e-07,0.28376
2.1441e-07,0.6993
2.1596e-07,0.29272
2.2227e-07,0.71469
2.2876e-07,0.72589
2.3885e-07,0.73957
2.4231e-07,0.30958
2.53e-07,0.75116
2.5852e-07,0.33047
2.6227e-07,0.76056
2.7384e-07,0.77248
2.8387e-07,0.7773
2.8592e-07,0.35608
2.9427e-07,0.78703
3.0069e-07,0.36848
3.1171e-07,0.79194
3.1396e-07,0.38728
3.2546e-07,0.40704
3.2781e-07,0.79194
3.3256e-07,0.4212
3.4724e-07,0.79441
3.5996e-07,0.46819
3.6517e-07,0.78948
3.7314e-07,0.49207
3.7855e-07,0.7773
3.8129e-07,0.52203
3.8404e-07,0.76769
3.9242e-07,0.7535
3.9811e-07,0.73727
4.0098e-07,0.71692
4.0388e-07,0.61558
4.0679e-07,0.65509
