x,S12A
7.2342e-08,0.26748
7.2864e-08,0.31054
7.3391e-08,0.234723
7.5534e-08,0.3315
7.7739e-08,0.215817
7.8866e-08,0.36279
8.0009e-08,0.207265
8.1169e-08,0.39335
8.294e-08,0.199672
8.5979e-08,0.4199
8.7225e-08,0.193557
9.2393e-08,0.45668
9.306e-08,0.188801
9.9286e-08,0.49361
1.00003e-07,0.184161
1.04416e-07,0.181884
1.08241e-07,0.53352
1.106e-07,0.179635
1.1632e-07,0.57487
1.1885e-07,0.178521
1.241e-07,0.60608
1.3051e-07,0.179078
1.324e-07,0.63899
1.3924e-07,0.65918
1.4025e-07,0.180756
1.4434e-07,0.68212
1.4856e-07,0.182451
1.5289e-07,0.70367
1.5849e-07,0.18531
1.5964e-07,0.72816
1.6668e-07,0.74883
1.691e-07,0.189389
1.7279e-07,0.76769
1.7783e-07,0.192357
1.8041e-07,0.78703
1.8837e-07,0.196591
1.8973e-07,0.80436
1.9668e-07,0.82462
1.9953e-07,0.201544
2.0389e-07,0.84277
2.0984e-07,0.207265
2.1136e-07,0.86132
2.2068e-07,0.213149
2.3042e-07,0.89965
2.3376e-07,0.220567
2.3886e-07,0.91945
2.494e-07,0.228244
2.6608e-07,0.96037
2.68e-07,0.242138
2.8388e-07,0.98151
2.8593e-07,0.252914
3.007e-07,1
3.0948e-07,0.26831
3.3257e-07,0.28553
3.5739e-07,0.30766
3.813e-07,0.33357
4.0681e-07,0.35942
4.2475e-07,0.38012
4.4992e-07,0.41342
4.6977e-07,0.44408
4.9404e-07,0.47849
5.1214e-07,0.52203
5.309e-07,1
5.464e-07,0.61176
5.5432e-07,0.95442
5.5833e-07,0.66123
5.6642e-07,0.89407
5.7051e-07,0.74883
5.7878e-07,0.79689
