x,S4B
2.1998e-08,0.05037
2.1999e-08,0.053937
2.2e-08,0.057043
2.2315e-08,0.047039
2.2485e-08,0.062622
2.2638e-08,0.044065
2.313e-08,0.041024
2.3309e-08,0.070261
2.3633e-08,0.038074
2.3974e-08,0.035667
2.4166e-08,0.077858
2.4672e-08,0.034042
2.5209e-08,0.032592
2.5601e-08,0.086545
2.6132e-08,0.031496
2.6927e-08,0.094423
2.7286e-08,0.030628
2.788e-08,0.030062
2.8524e-08,0.101429
2.9109e-08,0.029324
3.0175e-08,0.028693
3.0652e-08,0.107275
3.1963e-08,0.028516
3.2471e-08,0.113809
3.3134e-08,0.027903
3.4151e-08,0.119249
3.5349e-08,0.027731
3.6177e-08,0.124949
3.7444e-08,0.027905
3.8048e-08,0.1289
3.9096e-08,0.028255
4.0304e-08,0.133392
4.082e-08,0.028433
4.269e-08,0.13804
4.2931e-08,0.028789
4.4505e-08,0.02897
4.6468e-08,0.029242
4.6545e-08,0.144641
4.8517e-08,0.029517
5.038e-08,0.150617
5.1392e-08,0.029702
5.3368e-08,0.156837
5.4049e-08,0.029703
5.5723e-08,0.162807
5.6433e-08,0.029983
5.8079e-08,0.030077
5.8607e-08,0.170588
6.1081e-08,0.030078
6.1634e-08,0.176531
6.3775e-08,0.030079
6.4823e-08,0.183821
6.564e-08,0.029986
6.9027e-08,0.029708
6.9665e-08,0.194415
7.3649e-08,0.029525
7.4861e-08,0.204344
7.5796e-08,0.029343
7.8012e-08,0.029162
8.1034e-08,0.221567
8.5654e-08,0.028803
8.7088e-08,0.237269
9.1389e-08,0.028448
9.8425e-08,0.25648
9.8915e-08,0.028185
1.08616e-07,0.028012
1.1125e-07,0.28422
1.1926e-07,0.028189
1.2305e-07,0.30437
1.2725e-07,0.028454
1.3415e-07,0.32696
1.3479e-07,0.028633
1.4211e-07,0.34046
1.4483e-07,0.028813
1.5124e-07,0.029084
1.5163e-07,0.35674
1.5791e-07,0.029358
1.6178e-07,0.37148
1.6606e-07,0.029726
1.7092e-07,0.030099
1.7137e-07,0.38442
1.7846e-07,0.030476
1.7893e-07,0.39534
1.9039e-07,0.030955
1.9229e-07,0.41168
1.9881e-07,0.031344
2.0223e-07,0.42735
2.1269e-07,0.43813
2.1519e-07,0.032135
2.2857e-07,0.45765
2.346e-07,0.033463
2.3866e-07,0.47065
2.5032e-07,0.034954
2.5281e-07,0.48253
2.6207e-07,0.49163
2.7486e-07,0.036854
2.7761e-07,0.50404
2.9195e-07,0.51836
2.9752e-07,0.0391
3.115e-07,0.52979
3.2672e-07,0.042002
3.3234e-07,0.54317
3.4453e-07,0.5586
3.5458e-07,0.5656
3.5879e-07,0.045401
3.7292e-07,0.57448
3.7736e-07,0.047719
3.9503e-07,0.58533
4.0262e-07,0.050942
4.1245e-07,0.59637
4.204e-07,0.053376
4.3065e-07,0.60574
4.4216e-07,0.056981
4.4964e-07,0.60953
4.6169e-07,0.061399
4.7289e-07,0.61718
4.9261e-07,0.066573
4.9375e-07,0.61913
5.1441e-07,0.070628
5.2301e-07,0.62301
5.41e-07,0.076341
5.4608e-07,0.62497
5.649e-07,0.082773
5.8684e-07,0.62695
5.9844e-07,0.091439
6.216e-07,0.62115
6.3397e-07,0.102276
6.4901e-07,0.61924
6.6683e-07,0.114754
6.7768e-07,0.6097
7.0132e-07,0.128354
7.0244e-07,0.60031
7.2817e-07,0.59106
7.324e-07,0.144012
7.5484e-07,0.57835
7.5925e-07,0.158592
7.7129e-07,0.5659
7.8715e-07,0.175193
7.9382e-07,0.54858
8.1609e-07,0.194739
8.1694e-07,0.52849
8.4005e-07,0.215792
8.4078e-07,0.49973
8.5848e-07,0.243624
8.5906e-07,0.46524
8.7734e-07,0.28373
8.7765e-07,0.39948
8.838e-07,0.33562
