x,Curve1
-11.40762,-1.11022e-16
-11.39239,-0.19355
-11.37718,-0.38249
-11.34716,-0.61751
-11.30228,-0.92166
-11.27211,-1.21198
-11.22754,-1.41014
-11.16834,-1.59447
-11.12401,-1.71429
-11.06502,-1.82949
-11.00614,-1.90783
-10.96194,-1.97696
-10.90308,-2.05069
-10.85878,-2.15668
-10.78511,-2.2765
-10.69662,-2.45161
-10.62305,-2.53917
-10.56419,-2.6129
-10.47606,-2.66359
-10.35868,-2.69124
-10.256,-2.70507
-10.08003,-2.70968
-9.9041,-2.70046
-9.65496,-2.65899
-9.44982,-2.6129
-9.20072,-2.553
-8.99562,-2.49309
-8.84917,-2.43318
-8.65873,-2.37327
-8.54156,-2.32719
-8.42436,-2.29493
-8.29247,-2.26728
-8.13121,-2.25806
-7.99927,-2.24885
-7.80868,-2.23963
-7.60346,-2.2212
-7.42756,-2.20276
-7.26634,-2.17972
-7.13449,-2.13825
-6.97338,-2.07834
-6.81237,-1.98157
-6.57821,-1.82949
-6.41729,-1.70507
-6.25636,-1.58065
-6.0663,-1.39171
-5.83239,-1.15668
-5.64253,-0.89862
-5.46721,-0.68203
-5.30665,-0.43318
-5.18976,-0.29032
-5.13145,-0.17512
-5.07307,-0.08295
-5.04399,-1.11022e-16
