x,ogle2
4.2368e-08,1
4.4704e-08,0.93534
4.977e-08,0.84421
5.6008e-08,0.75185
6.4051e-08,0.65483
7.3643e-08,0.5678
8.4672e-08,0.49453
9.7352e-08,0.43072
1.12534e-07,0.37514
1.28005e-07,0.32819
1.4797e-07,0.28712
1.7289e-07,0.24896
1.9985e-07,0.21587
2.2732e-07,0.18718
2.6277e-07,0.160861
3.0375e-07,0.141359
3.2922e-07,1
3.4737e-07,0.94793
3.5112e-07,0.124221
3.8056e-07,0.8594
4.0154e-07,0.108192
4.4945e-07,0.73856
4.7169e-07,0.094231
5.1676e-07,0.64902
5.3654e-07,0.082072
6.0379e-07,0.5678
6.2355e-07,0.072444
6.9421e-07,0.49896
7.0928e-07,0.062258
8.1113e-07,0.43652
8.3768e-07,0.053504
9.326e-07,0.3785
9.7876e-07,0.046808
1.07804e-06,0.33261
1.12534e-06,0.041687
1.24615e-06,0.28969
1.30083e-06,0.036308
1.46387e-06,0.25231
1.4956e-06,0.032192
1.6921e-06,0.22271
1.7569e-06,0.027542
1.9771e-06,0.19484
2.0418e-06,0.024529
2.3351e-06,0.171982
2.3603e-06,0.021459
2.6848e-06,0.019197
2.7283e-06,0.151131
2.989e-06,0.0177169
3.1708e-06,0.133998
3.2745e-06,0.0162784
3.6261e-06,0.0152258
3.7247e-06,0.117752
3.826e-06,0.0145622
4.0587e-06,0.0140521
4.3288e-06,0.0132022
4.3521e-06,0.104869
4.6416e-06,0.0125147
4.9504e-06,0.0118102
5.1399e-06,0.093395
5.5114e-06,0.0110959
6.0379e-06,0.0102863
6.4396e-06,0.0098819
6.9421e-06,0.0094091
7.1693e-06,0.075073
7.404e-06,0.008999
7.9817e-06,0.0086452
8.243e-06,0.068366
8.5128e-06,0.0083424
9.2265e-06,0.0080144
9.6313e-06,0.062258
1.0217e-05,0.0076651
1.08384e-05,0.057459
1.08967e-05,0.0073966
1.18739e-05,0.0071058
1.2596e-05,0.0068875
1.30083e-05,0.053266
1.4251e-05,0.0066168
1.5281e-05,0.006385
1.5613e-05,0.048077
1.6741e-05,0.0062165
1.8738e-05,0.043587
1.894e-05,0.0061067
2.0418e-05,0.0059721
2.2611e-05,0.040048
2.2855e-05,0.0058666
2.4375e-05,0.0058405
2.6704e-05,0.036796
2.7137e-05,0.0058666
2.9412e-05,0.0059191
3.1369e-05,0.0059456
3.1878e-05,0.033509
3.4182e-05,0.0060525
3.6067e-05,0.031342
3.6652e-05,0.0061067
3.8466e-05,0.0062443
3.9301e-05,0.03011
4.1916e-05,0.0064422
4.4704e-05,0.027298
4.5674e-05,0.0067058
4.7935e-05,0.0069802
4.8975e-05,0.025761
5.1124e-05,0.0072336
5.2797e-05,0.024203
5.4233e-05,0.0075633
5.7532e-05,0.0079788
5.7841e-05,0.022337
6.0704e-05,0.0084171
6.1359e-05,0.020986
6.3028e-05,0.0088007
6.5091e-05,0.019111
6.6503e-05,0.0095783
6.8312e-05,0.0101497
6.868e-05,0.0172494
7.017e-05,0.0108514
7.1693e-05,0.0155689
7.2857e-05,0.0134997
