x,Curve1
-0.04729,0.0082
0.00992,-0.12421
0.05556,-0.19648
0.10692,-0.2808
0.15256,-0.35308
0.20955,-0.42541
0.25524,-0.5097
0.30088,-0.58198
0.34656,-0.66627
0.40927,-0.75064
0.47773,-0.85906
0.54047,-0.95544
0.59188,-1.05177
0.65458,-1.13613
0.7117,-1.24451
0.79722,-1.36501
0.8714,-1.48547
0.92285,-1.59382
0.96836,-1.66005
0.99689,-1.7123
1.03124,-1.76247
1.04862,-1.82867
1.08305,-1.96695
1.12901,-2.12335
1.18069,-2.29178
1.22665,-2.44817
1.28413,-2.65267
1.34733,-2.86921
1.41625,-3.0978
1.49097,-3.36245
1.53135,-3.54285
1.57736,-3.71126
1.64641,-3.97589
1.69845,-4.24045
1.76206,-4.56514
1.80271,-4.81763
1.86056,-5.11827
1.90702,-5.40684
1.9592,-5.70745
2.00543,-5.93594
2.02281,-6.03213
2.07416,-6.11645
2.13691,-6.21283
2.3193,-6.45388
2.56452,-6.81535
2.83823,-7.21297
3.00928,-7.45398
3.1061,-7.56251
3.24838,-7.69525
3.55008,-7.99686
3.83469,-8.27437
4.02819,-8.45539
4.50466,-8.48133
