x,w(T)
0.0070946,0.333333
0.010121,0.333333
0.03782,0.333333
0.045597,0.33285
0.05101,0.332068
0.056535,0.331092
0.060359,0.329822
0.066274,0.327869
0.070757,0.325233
0.076968,0.322109
0.08451,0.318887
0.09107,0.315568
0.09723,0.312639
0.10284,0.309905
0.10878,0.30766
0.11505,0.305804
0.12284,0.304047
0.12992,0.30268
0.14001,0.301606
0.14948,0.300824
0.16568,0.300629
0.18022,0.301116
0.19604,0.301994
0.21325,0.303165
0.22767,0.304824
0.24081,0.305995
0.25709,0.307459
0.27448,0.309313
0.30138,0.311363
0.32784,0.31351
0.35662,0.315559
0.39896,0.318194
0.45052,0.320341
0.49007,0.321903
0.54315,0.323269
0.60763,0.324927
0.69911,0.326879
0.81955,0.328537
0.9697,0.330098
1.1475,0.331366
1.3202,0.332244
1.5769,0.332926
1.937,0.33312
3.9052,0.333214
8.891,0.333209
10.82,0.332622
12.449,0.331937
13.797,0.331156
15.008,0.329789
16.326,0.328226
18.264,0.326078
20.243,0.323442
22.226,0.320318
24.177,0.318072
26.547,0.315143
28.342,0.312702
30.543,0.310456
32.609,0.308796
35.142,0.307527
37.519,0.306258
40.056,0.305769
43.572,0.305476
47.843,0.305866
51.558,0.306646
57.143,0.307329
60.44,0.307914
65.134,0.308597
68.251,0.309085
74.242,0.309475
79.263,0.309182
84.62,0.308595
89.51,0.307717
92.92,0.306545
97.36,0.304495
102.98,0.30264
109.95,0.298832
116.29,0.294927
120.72,0.290632
126.5,0.285165
132.55,0.277843
138.9,0.269936
144.19,0.261248
151.09,0.252755
156.85,0.24475
162.82,0.237722
167.45,0.234695
170.62,0.233133
172.22,0.232157
177.12,0.231278
183.87,0.230888
192.66,0.231278
198.15,0.232644
203.78,0.235377
211.55,0.239087
219.61,0.243967
227.98,0.249629
245.68,0.257242
277.43,0.266906
307.48,0.273738
343.99,0.279399
381.25,0.284963
426.51,0.289453
490.72,0.294137
559.35,0.298139
643.55,0.301555
761.5,0.305068
953.1,0.309264
1215.3,0.313851
1579,0.317851
1939.6,0.320779
2273.7,0.323023
2819.1,0.325267
3430.7,0.327218
4136.1,0.328779
5080.6,0.329851
6068.2,0.330924
6981.8,0.331313
8261.4,0.331605
9960,0.331409
11676,0.331213
13434,0.330626
15028,0.330235
16656,0.329356
18634,0.328672
20270,0.327793
22256,0.327011
24210,0.32623
26832,0.325155
29462,0.324374
32653,0.323202
36530,0.322323
40867,0.321736
46148,0.320955
53096,0.320856
59399,0.320855
68984,0.321147
80115,0.32183
9.392e+04,0.323
1.1429e+05,0.324756
1.3779e+05,0.326415
1.6768e+05,0.328561
1.9656e+05,0.330219
2.199e+05,0.33139
2.4145e+05,0.332173
2.6511e+05,0.332951
3.0219e+05,0.333333
3.3807e+05,0.333333
5.7602e+05,0.333333
4.0649e+06,0.333333
